"index","position","callout","boundary","resources","effort","effort(minutes)","startDate","startTime","dueDate","dueTime","progress","priority","shape","colour","icon1","icon2","link","note","value","level","level0","level1","level2","level3","level4","level5","level6","level7","level8","level9","level10","level11","level12","level13","level14","level15","level16","level17","level18","level19","level20"
"0","{0, 0}","","","","","","","","","","","","","","","","","","","0","Towards an Abstract Service Protocol for Common Lisp Applications and a Complimentary Extension into IP Networking and Two-Wire Device Protocols  Was: Trivial-Networking  Notes  Sean Champ 11 Sep 2013"
"1","{528, -44}","","","","","","","","","","","","","","","","","","","1","","Conventional Networking Architecture  as Defining a Networking Reference Model"
"2","{-296, -190}","YES","YES","","","","","","","","","","","","","","","","","2","","","Reference Materials"
"3","{254, -52}","","","","","","","","","","","","","","","","http://www.gnu.org/software/libc/manual/html_node/Sockets.html#Sockets","","","3","","","","Sockets - The GNU C Library"
"4","{281, -8}","","","","","","","","","","","","","","","","http://beej.us/guide/bgnet/output/html/multipage/index.html","","","3","","","","Beej's Guide to Network Programming"
"5","{291, 44}","","","","","","","","","","","","","","","","http://os.reading-now.org/book/41","","","3","","","","Linux Socket Programming by Example - Warren Gay"
"6","{285, -178}","","","","","","","","","","","","","","","","","","","2","","","IP Networking"
"7","{208, -495}","","","","","","","","","","","","","","","","","","","3","","","","IP Address Space"
"8","{226, -141}","","","","","","","","","","","","","","","","","","","4","","","","","IP Address Formats"
"9","{176, -22}","","","","","","","","","","","","","","","","","","","5","","","","","","IPv4"
"10","{176, 22}","","","","","","","","","","","","","","","","","","","5","","","","","","IPv6"
"11","{194, 44}","","","","","","","","","","","","","","","","","","","4","","","","","Concepts"
"12","{192, -119}","","","","","","","","","","","","","","","","","","","5","","","","","","Network interface"
"13","{221, 0}","","","","","","","","","","","","","","","","","","","6","","","","","","","e.g eth0, wlan0, ppp0"
"14","{178, -53}","","","","","","","","","","","","","","","","","","","5","","","","","","Network host"
"15","{182, -22}","","","","","","","","","","","","","","","","","","","6","","","","","","","Host address"
"16","{174, 22}","","","","","","","","","","","","","","","","","","","6","","","","","","","Host name"
"17","{162, 35}","","","","","","","","","","","","","","","","","","","5","","","","","","Routing"
"18","{180, -22}","","","","","","","","","","","","","","","","","","","6","","","","","","","Gateway Address"
"19","{152, 22}","","","","","","","","","","","","","","","","","","","6","","","","","","","Netmask"
"20","{202, 110}","","","","","","","","","","","","","","","","","","","5","","","","","","Reserved addresses"
"21","{313, 0}","","","","","","","","","","","","","","","","http://en.wikipedia.org/wiki/Reserved_IP_addresses","","","6","","","","","","","cf. Reserved IP addresses - Wikipedia, the free encyclopedia"
"22","{207, -266}","","","","","","","","","","","","","","","","","","","3","","","","IP Protocol Types"
"23","{177, -22}","","","","","","","","","","","","","","","","","","","4","","","","","TCP"
"24","{178, 0}","","","","","","","","","","","","","","","","","","","5","","","","","","Connection-Oriented"
"25","{178, 22}","","","","","","","","","","","","","","","","","","","4","","","","","UDP"
"26","{162, 0}","","","","","","","","","","","","","","","","","","","5","","","","","","Connectionless"
"27","{230, -112}","","","","","","","","","","","","","","go","","","","","3","","","","Application Protocols"
"28","{197, -88}","","","","","","","","","","","","","","","","","","","4","","","","","HTTP"
"29","{193, -44}","","","","","","","","","","","","","","","","","","","4","","","","","SSH"
"30","{192, 0}","","","","","","","","","","","","","","","","","","","4","","","","","FTP"
"31","{193, 44}","","","","","","","","","","","","","","","","","","","4","","","","","IIOP"
"32","{185, 88}","","","","","","","","","","","","","","","","","","","4","","","","","…"
"33","{269, 338}","","","","","","","","","","","","","","","","","","","3","","","","Operating System View of Networking"
"34","{305, -2}","","YES","","","","","","","","","","","","","","","","","4","","","","","GNU LibC Sockets Model"
"35","{230, -176}","","","","","","","","","","","","","","","","","","","5","","","","","","Socket Types"
"36","{208, -110}","","","","","","","","","","","","","","","","","","","6","","","","","","","Stream Sockets (SOCK_STREAM)"
"37","{275, -22}","","","","","","","","","","","","","","","","","","","7","","","","","","","","Suitable for TCP application protocols"
"38","{241, 22}","","","","","","","","","","","","","","","","http://man7.org/linux/man-pages/man7/tcp.7.html","","","7","","","","","","","","tcp(7) - Linux manual page"
"39","{208, -22}","","","","","","","","","","","","","","","","","","","6","","","","","","","Datagram Sockets (SOCK_DGRAM)"
"40","{275, -22}","","","","","","","","","","","","","","","","","","","7","","","","","","","","Suitable for UDP application protocols"
"41","{243, 22}","","","","","","","","","","","","","","","","http://man7.org/linux/man-pages/man7/udp.7.html","","","7","","","","","","","","udp(7) - Linux manual page"
"42","{195, 88}","","","","","","","","","","","","","","","","","","","6","","","","","","","Raw Sockets (SOCK_RAW)"
"43","{291, -22}","","","","","","","","","","","","","","","","","","","7","","","","","","","","Suitable for lower-level networking protocols (e.g ICMP, ARP)"
"44","{327, -22}","","","","","","","","","","","","","","","","http://man7.org/linux/man-pages/man7/icmp.7.html","","","8","","","","","","","","","icmp(7) - Linux manual page"
"45","{323, 22}","","","","","","","","","","","","","","","","http://man7.org/linux/man-pages/man7/arp.7.html","","","8","","","","","","","","","arp(7) - Linux manual page"
"46","{230, 44}","","","","","","","","","","","","","","","","http://man7.org/linux/man-pages/man7/raw.7.html","","","7","","","","","","","","raw(7) - Linux manual page"
"47","{264, 66}","","","","","","","","","","","","","","","","","","","5","","","","","","Socket Address Formats"
"48","{194, 0}","","","","","","","","","","","","","","","","","","","6","","","","","","","e.g"
"49","{147, -44}","","","","","","","","","","","","","","","","","","","7","","","","","","","","AF_UNIX"
"50","{214, -22}","","","","","","","","","","","","","","","","","","","8","","","","","","","","","Synonymous with AF_FILE"
"51","{238, 22}","","","","","","","","","","","","","","","","","","","8","","","","","","","","","Beyond the scope of IP networking"
"52","{138, 22}","","","","","","","","","","","","","","","","","","","7","","","","","","","","AF_INET"
"53","{142, 66}","","","","","","","","","","","","","","","","","","","7","","","","","","","","AF_INET6"
"54","{298, 242}","","","","","","","","","","","","","","","","","","","5","","","","","","Namespaces and Protocol Families"
"55","{228, 0}","","","","","","","","","","","","","","","","","","","6","","","","","","","e.g"
"56","{190, -44}","","","","","","","","","","","","","","","","","","","7","","","","","","","","Filesystem Namespace"
"57","{210, 0}","","","","","","","","","","","","","","","","","","","8","","","","","","","","","PF_UNIX"
"58","{214, -22}","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","Synonymous with PF_FILE"
"59","{238, 22}","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","Beyond the scope of IP networking"
"60","{163, 44}","","","","","","","","","","","","","","","","","","","7","","","","","","","","IP Namespace"
"61","{174, -22}","","","","","","","","","","","","","","","","","","","8","","","","","","","","","PF_INET"
"62","{178, 22}","","","","","","","","","","","","","","","","","","","8","","","","","","","","","PF_INET6"
"63","{259, 540}","","","","","","","","","","","","","","","","","","","2","","","ICMP"
"64","{232, 0}","","","","","","","","","","","","","","","","http://bit.ly/15Pg9sw","","","3","","","","May be implemented via raw sockets  cf. article at link"
"65","{277, 720}","","","","","","","","","","","","","","","","","","","2","","","Illustrations"
"66","{285, -50}","","","","","","","","","","","","","","","","","","","3","","","","Trivial Architectural Model"
"67","{285, 89}","","","","","","","","","","","","","","","","","","","3","","","","Trivial Socket Program Control Flow"
"68","{367, -2}","YES","","","","","","","","","","","","","","","","","","4","","","","","Not conveyed clearly in this thumbnail"
"69","{429, 858}","","","","","","","","","","","","","","","","","","","1","","API Sketch"
"70","{196, -22}","","","","","","","","","","","","","","","","","","","2","","","Create-Server-Peer"
"71","{193, 22}","","","","","","","","","","","","","","","","","","","2","","","Create-Client-Peer"
"72","{179, 158}","YES","","","","","","","","","","","","","","","","","","2","","","The ""Create Peer"" operations can be specialized on one type of resource.  What type of resource should the operations be specialized on?"
"73","{406, -2}","","","","","","","","","","","","","","","","","","","3","","","","A class, NETWORK-SERVICE, may be defined, such as to serve as a base class for application layer protocols such as HTTP, SSH"
"74","{405, -2}","","","","","","","","","","","","","","","","","","","4","","","","","The class may be abstracted as to address other contractual service protocols, such as for device connections in the hardware layer"
"75","{10, -110}","YES","","","","","","","","","","","","","","","","","","5","","","","","","Superclass: SERVICE, instances of which would represent the implementation of a service protocol, in a protocol-specific regard"
"76","{363, -66}","","","","","","","","","","","","","","","","","","","6","","","","","","","Try to follow on this with generic function definitions suitable to the definition of an abstract service protocol, and its extension into IP networking, HTTP and IIOP specifically, and a device-oriented protocol suitable to application integration (I2C?)"
"77","{320, 0}","","","","","","","","","","","","","","hand-thumb-up","","","","","7","","","","","","","","I2C and SMBus"
"78","{200, -128}","","","","","","","","","","","","","","","","","","","8","","","","","","","","","Overview"
"79","{246, -32}","","","","","","","","","","","","","","","","http://en.wikipedia.org/wiki/I²C","","","9","","","","","","","","","","I²C - Wikipedia, the free encyclopedia"
"80","{276, 22}","","","","","","","","","","","","","","","","http://en.wikipedia.org/wiki/SMBus","","","9","","","","","","","","","","System Management Bus - Wikipedia, the free encyclopedia"
"81","{208, -22}","","","","","","","","","","","","","","","","","","","8","","","","","","","","","Applications"
"82","{174, -32}","","","","","","","","","","","","","","","","http://www.robot-electronics.co.uk/acatalog/I2C_Tutorial.html","","","9","","","","","","","","","","I2C Tutorial"
"83","{280, 22}","","","","","","","","","","","","","","","","https://ccrma.stanford.edu/courses/250a/docs/avr-libc-user-manual-1.2.5/group__twi__demo.html","","","9","","","","","","","","","","avr-libc: Example using the two-wire interface (TWI)"
"84","{195, 106}","","","","","","","","","","","","","","","","","","","8","","","","","","","","","Devices"
"85","{181, 0}","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","Simple Devices"
"86","{174, -54}","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","LEDs"
"87","{257, 0}","","","","","","","","","","","","","","","","http://thingm.com/products/blinkm","","","11","","","","","","","","","","","","thingm :: an electronic product studio: BlinkM"
"88","{221, 22}","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","I2C to USB Adapters"
"89","{305, -22}","","","","","","","","","","","","","","","","http://www.totalphase.com/products/aardvark_i2cspi/","","","11","","","","","","","","","","","","Aardvark I2C/SPI Host Adapter - USB to I2C and SPI interface"
"90","{204, 30}","","","","","","","","","","","","","","","","http://www.harbaum.org/till/i2c_tiny_usb/index.shtml","","","11","","","","","","","","","","","","I2c-tiny-USB"
"91","{372, 38}","","","","","","","","","","","","","","","","","","","5","","","","","","Note that IP networking is, itself, comprised of a stack or semantic network of related protocols, from ARP (Ethernet MAC addressing) on to IP addressing, DNS name query services (recently augmented with Bonjour and Zeroconf service protocols) and the application layer protocols such as HTTP, IIOP, SSH, Mosh, DNS queries, etc"
"92","{-65, 151}","YES","","","","","","","","","","","","","","","","","","5","","","","","","Must be suitable to connectionless (e.g DNS requests over UDP) and connection-oriented protocols (e.g HTTP, IIOP)"
"93","{-191, 269}","YES","","","","","","","","","","","","","","","","","","1","","To Do: Sync project to GitHub"
"94","{1954, -292}","","","","","","","","","","","","","","","","","","","0","Note: Special role of AF_UNSPEC socket addressing in datagram-oriented networking (UDP)"
"95","{421, -31}","","","","","","","","","","","","","","","","https://fedoraproject.org/wiki/Networking/NameResolution","","","1","","Networking/NameResolution - FedoraProject"
"96","{435, 22}","","","","","","","","","","","","","","","","http://alas.matf.bg.ac.rs/manuals/lspe/snode=30.html","","","1","","Safari | Linux Socket Programming by Example -> The AF_UNSPEC Address Family"
"97","{399, 0}","","","","","","","","","","","","","","","","http://alas.matf.bg.ac.rs/manuals/lspe/mode=1.html","","","2","","","Safari | Linux Socket Programming by Example"
"98","{541, 254}","","","","","","","","","","","","","","","","http://www.gnu.org/software/libc/manual/html_node/Interface-Naming.html#Interface-Naming","","","0","Note: Interface Naming - The GNU C Library"
